STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,EVAP,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WDMV,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT21,WT22,WV03,WV20
USW00023232,2/6/1984,California,Sacramento,0,0,5.59,,,,,,0,0,0,,66,43,,579,,,,,315,,,,,,,8.9,1,1,,,,,1,,,,,,,,,
USW00023232,2/7/1984,California,Sacramento,70,100,4.03,,,,,,0,0,0,,62,43,,446,,,,,315,,,,,,,4,1,,,,,,1,,,,,,,,,
USW00023232,2/8/1984,California,Sacramento,100,100,4.92,,,,,,0.05,0,0,,64,43,,410,,,,,135,,,,,,,8.1,1,1,,,,,1,,,,1,,,,,
USW00023232,2/9/1984,California,Sacramento,80,90,11.41,,,,,,0.04,0,0,,56,45,,284,,,,,225,,,,,,,19.9,1,,,,,,1,,,,1,,,,,
USW00023232,2/10/1984,California,Sacramento,30,40,4.03,,,,,,0,0,0,,57,35,,536,,,,,270,,,,,,,6,,,,,,,,,,,,,,,,
USW00023232,2/11/1984,California,Sacramento,90,100,4.7,,,,,,0.03,0,0,,50,39,,24,,,,,315,,,,,,,6,,,,,,,,,,,1,,,,,
USW00023232,2/12/1984,California,Sacramento,100,100,4.7,,,,,,0.14,0,0,,53,46,,82,,,,,135,,,,,,,6.9,1,,,,,,,,,1,1,,,,,
USW00023232,2/13/1984,California,Sacramento,80,90,13.2,,,,,,0.35,0,0,,59,40,,75,,,,,225,,,,,,,21,1,,,,,,1,,,,1,,,,,
USW00023232,2/14/1984,California,Sacramento,60,70,5.59,,,,,,0.02,0,0,,56,35,,527,,,,,45,,,,,,,10.1,,,,,,,,,,,1,,,,,
USW00023232,2/15/1984,California,Sacramento,100,100,10.29,,,,,,0.36,0,0,,54,47,,125,,,,,135,,,,,,,21.9,1,,,,,,1,,,,1,,,,,
USW00023232,2/16/1984,California,Sacramento,30,20,8.05,,,,,,0,0,0,,57,41,,608,,,,,225,,,,,,,13,,,,,,,,,,,,,,,,
USW00023232,2/17/1984,California,Sacramento,10,10,7.61,,,,,,0,0,0,,59,35,,651,,,,,315,,,,,,,17.9,,,,,,,,,,,,,,,,
USW00023232,2/18/1984,California,Sacramento,60,60,5.59,,,,,,0,0,0,,59,37,,545,,,,,270,,,,,,,4.9,,,,,,,,,,,,,,,,
USW00023232,2/19/1984,California,Sacramento,40,60,4.7,,,,,,0,0,0,,63,40,,656,,,,,315,,,,,,,4.9,,,,,,,,,,,,,,,,
USW00023232,2/20/1984,California,Sacramento,80,100,5.82,,,,,,0.15,0,0,,61,46,,460,140,,,,,,,10.1,,,,,1,,,,,,,,,,1,,,,,
USW00023232,2/21/1984,California,Sacramento,50,40,9.4,,,,,,0.07,0,0,,59,44,,524,,,,,225,,,,,,,17,1,,,,,,,,,,1,,,,,
USW00023232,2/22/1984,California,Sacramento,30,40,11.86,,,,,,0,0,0,,58,40,,598,,,,,315,,,,,,,23.9,,,,,,,,,,,,,,,,
USW00023232,2/23/1984,California,Sacramento,60,70,6.26,,,,,,0,0,0,,54,36,,500,,,,,315,,,,,,,10.1,,,,,,,,,,,,,,,,
USW00023232,2/24/1984,California,Sacramento,60,60,9.17,,,,,,0.01,0,0,,59,40,,455,,,,,315,,,,,,,17.9,1,,,,,,,,,1,1,,,,,
USW00023232,2/25/1984,California,Sacramento,0,0,9.4,,,,,,0,0,0,,60,37,,671,,,,,315,,,,,,,19,,,,,,,,,,,,,,,,
USW00023232,2/26/1984,California,Sacramento,30,50,3.58,,,,,,0,0,0,,61,36,,610,,,,,135,,,,,,,4,,,,,,,,,,,,,,,,
USW00023232,2/27/1984,California,Sacramento,60,90,3.8,,,,,,0,0,0,,64,42,,597,,,,,180,,,,,,,6,,,,,,,,,,,,,,,,
USW00023232,2/28/1984,California,Sacramento,40,80,5.59,,,,,,0,0,0,,66,40,,625,,,,,225,,,,,,,8.1,,,,,,,,,,,,,,,,
USW00023232,2/29/1984,California,Sacramento,70,90,6.04,,,,,,0,0,0,,62,43,,540,,,,,180,,,,,,,6,1,,,,,,1,,,,,,,,,
USW00023232,3/1/1984,California,Sacramento,20,10,5.37,,,,,,0,0,0,,69,42,,620,,,,,225,,,,,,,8.1,1,,,,,,1,,,,,,,,,
USW00023232,3/2/1984,California,Sacramento,30,30,6.26,,,,,,0,0,0,,67,47,,593,,,,,360,,,,,,,11,1,1,,,,,1,,,,,,,,,
USW00023232,3/3/1984,California,Sacramento,10,10,7.61,,,,,,0,0,0,,70,46,,685,,,,,360,,,,,,,12.1,,,,,,,,,,,,,,,,
USW00023232,3/4/1984,California,Sacramento,10,10,18.34,,,,,,0,0,0,,73,51,,658,,,,,315,,,,,,,32,,,,,,,,,,,,,,,,
USW00023232,3/5/1984,California,Sacramento,0,0,8.5,,,,,,0,0,0,,68,46,,690,,,,,225,,,,,,,13,,,,,,,,,,,,,,,,
USW00023232,3/6/1984,California,Sacramento,40,50,4.7,,,,,,0,0,0,,70,41,,638,,,,,225,,,,,,,4.9,,,,,,,1,,,,,,,,,
USW00023232,3/7/1984,California,Sacramento,50,80,5.37,,,,,,0,0,0,,69,48,,505,,,,,225,,,,,,,8.1,,,,,,,1,,,,,,,,,
USW00023232,3/8/1984,California,Sacramento,40,40,6.49,,,,,,0,0,0,,69,44,,542,,,,,225,,,,,,,16.1,1,,,,,,1,,,,,,,,,
USW00023232,3/9/1984,California,Sacramento,40,50,7.61,,,,,,0,0,0,,71,45,,580,,,,,315,,,,,,,12.1,1,,,,,,1,,,,,,,,,
USW00023232,3/10/1984,California,Sacramento,60,60,7.38,,,,,,0,0,0,,73,48,,595,,,,,270,,,,,,,8.9,,,,,,,,,,,,,,,,
USW00023232,3/11/1984,California,Sacramento,80,100,8.28,,,,,,0,0,0,,66,48,,458,,,,,225,,,,,,,13,1,,,,,,,,,,,,,,,
USW00023232,3/12/1984,California,Sacramento,80,70,8.5,,,,,,0,0,0,,71,53,,505,,,,,225,,,,,,,11,,,,,,,,,,,,,,,,
USW00023232,3/13/1984,California,Sacramento,90,100,13.87,,,,,,0.54,0,0,,59,54,,111,,,,,135,,,,,,,25.1,1,,,,,,,,,,1,,,,,
USW00023232,3/14/1984,California,Sacramento,80,80,11.18,,,,,,0.02,0,0,,64,51,,470,,,,,135,,,,,,,15,,,,,,,,,,,1,,,,,
USW00023232,3/15/1984,California,Sacramento,50,50,11.41,,,,,,0.05,0,0,,63,44,,628,,,,,225,,,,,,,21,,,,,,,,,,,1,,,,,
USW00023232,3/16/1984,California,Sacramento,80,100,9.4,,,,,,0.23,0,0,,61,43,,405,,,,,225,,,,,,,17,1,,,,,,,,,,1,,,,,
USW00023232,3/17/1984,California,Sacramento,30,50,7.83,,,,,,0,0,0,,62,39,,686,,,,,315,,,,,,,13,1,,,,,,1,,,,,,,,,
