STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,FMTM,MDPR,MDSF,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USC00470273,2/8/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,31,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/9/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,28,-1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/10/1992,Wisconsin,Dane,,,,,,,,,,0.3,0,,29,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/11/1992,Wisconsin,Dane,,,,,,,,,0.16,1.3,2,,33,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/12/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,24,-2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/13/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,30,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/14/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,32,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/15/1992,Wisconsin,Dane,,,,,,,,,0.45,,4,,33,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/16/1992,Wisconsin,Dane,,,,,,,,,0,0,,,35,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/17/1992,Wisconsin,Dane,,,,,,,,,0,0,3,,37,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/18/1992,Wisconsin,Dane,,,,,,,,,0.28,2,5,,40,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/19/1992,Wisconsin,Dane,,,,,,,,,0.14,0,4,,35,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/20/1992,Wisconsin,Dane,,,,,,,,,0,0,3,,37,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/21/1992,Wisconsin,Dane,,,,,,,,,0,0,2,,44,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/22/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,35,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/23/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,47,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/24/1992,Wisconsin,Dane,,,,,,,,,0.16,0,0,,40,27,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/25/1992,Wisconsin,Dane,,,,,,,,,0.24,,1,,35,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/26/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,36,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/27/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,44,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/28/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,48,34,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,2/29/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,44,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/1/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,44,25,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/2/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,64,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/3/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,50,25,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/4/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,48,32,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/5/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,61,34,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/6/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,54,40,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/7/1992,Wisconsin,Dane,,,,,,,,,0.09,0,0,,52,21,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/8/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,53,25,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/9/1992,Wisconsin,Dane,,,,,,,,,0.2,0,0,,63,42,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/10/1992,Wisconsin,Dane,,,,,,,,,0.23,1,1,,45,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/11/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,26,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/12/1992,Wisconsin,Dane,,,,,,,,,0,0,,,29,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/13/1992,Wisconsin,Dane,,,,,,,,,0,0,,,31,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/14/1992,Wisconsin,Dane,,,,,,,,,0,0,,,32,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/15/1992,Wisconsin,Dane,,,,,,,,,0,0,,,31,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/16/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,37,13,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/17/1992,Wisconsin,Dane,,,,,,,,,0.3,0,0,,46,29,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/18/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,46,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/19/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,37,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/20/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,46,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/21/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,45,17,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/22/1992,Wisconsin,Dane,,,,,,,,,0.62,,6,,30,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/23/1992,Wisconsin,Dane,,,,,,,,,0,0,4,,41,13,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/24/1992,Wisconsin,Dane,,,,,,,,,0,0,2,,47,17,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/25/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,61,34,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/26/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,62,27,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/27/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,45,22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/28/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,47,17,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
